Address,Beds,Baths,Price,Square Foot
"925 Sims St SW, Atlanta, GA 30310",3bd,3ba,345000,Undisclosed
"1280 Nash Rd NW, Atlanta, GA 30331",3bd,2ba,349000,1815
"377 Parducci Trl  S, Atlanta, GA 30349",4bd,3ba,394900,2746
"1005 Lindbergh Dr NE, Atlanta, GA 30324",3bd,1ba,375000,1136
"1280 W  Peachtree St   NW #1103, Atlanta, GA 30309",1bd,1ba,215000,772
"Cosmos Plan in Aviary Park, Atlanta, GA 30311",3bd,3ba,281900,1421
"1191 Arlington Ave SW, Atlanta, GA 30310",4bd,2ba,185000,1343
"3231 Amhurst Dr NW, Atlanta, GA 30318",3bd,3ba,400000,1321
"23 Stillman St SE, Atlanta, GA 30315",3bd,2ba,285000,Undisclosed
"2050 Forrest Park Rd SE, Atlanta, GA 30315",3bd,1ba,134000,1850
"1869 Spring Ave NW, Atlanta, GA 30318",2bd,1ba,450000,837
"955 Juniper St NE #3028, Atlanta, GA 30309",1bd,1ba,284900,715
"3665 Chestnut Dr   #D1, Atlanta, GA 30340",2bd,1ba,185000,957
"4929 Rapahoe Trl  #15, Atlanta, GA 30349",4bd,3ba,359000,1861
"6753 Prelude Dr   #216, Atlanta, GA 30328",3bd,4ba,760000,2258
"6765 Prelude Dr   #214, Atlanta, GA 30328",3bd,4ba,762040,2258
"Townhouse 9 Plan in Downing Park, Atlanta, GA 30307",3bd,4ba,1450000,3006
"1841 E  Farris Ave, East Pt, GA 30344",3bd,2ba,320000,1200
"Winn Plan in Beckham Place at Morningside, Atlanta, GA 30310",3bd,4ba,752995,2044
"1671 Cecile Ave, Atlanta, GA 30316",4bd,2ba,645000,1998
"Braden Plan in Anatole, Atlanta, GA 30331",3bd,3ba,296000,1463
"2997 Semmes St, East Pt, GA 30344",3bd,2ba,235000,1244
"214 Maple Pl NW, Atlanta, GA 30314",Studio,Undisclosed,125000,Undisclosed
"Type A Plan in Hollywood and Main II, Atlanta, GA 30318",3bd,4ba,490000,1792
"400 17th St NW #1334, Atlanta, GA 30363",3bd,3ba,359900,1500
"874 Plainville Pl SW, Atlanta, GA 30331",4bd,2ba,289000,Undisclosed
"1835 Broad Ave, East Pt, GA 30344",3bd,3ba,275000,1211
"300 W  Peachtree St   NE #12, Atlanta, GA 30308",1bd,1ba,235000,628
"681 Ira St SW, Atlanta, GA 30310",3bd,1ba,170000,1200
"2300 Peachford Rd #1202, Atlanta, GA 30338",2bd,2ba,400000,1396
"Welkin 2B Plan in Stein Steel, Atlanta, GA 30316",2bd,3ba,616000,1343
"Townhouse 2 Plan in Downing Park, Atlanta, GA 30307",4bd,5ba,1700000,3535
"1239 Stoneham Ct, Atlanta, GA 30349",5bd,2ba,274900,Undisclosed
"790 Knox Dr SE, Atlanta, GA 30315",3bd,3ba,449900,1456
"Maxwell Plan in Zephyr, Atlanta, GA 30315",2bd,2ba,410000,1171
"1385 Campbellton Rd SW, Atlanta, GA 30310",3bd,2ba,299000,1140
"1197 Fayetteville Rd, Atlanta, GA 30316",3bd,2ba,245000,1952
"Annalise Plan in Anatole, Atlanta, GA 30331",3bd,3ba,301000,1580
"195 Beverly Rd NE, Atlanta, GA 30309",3bd,3ba,1549000,Undisclosed
"1101 Collier Rd   NW #A8, Atlanta, GA 30318",2bd,2ba,288000,1020
"Bellamy Plan in Park Vue, Atlanta, GA 30318",2bd,3ba,459710,1590
"1051 Thomasville Estate Way, Atlanta, GA 30315",3bd,3ba,329990,1800
"1074 Peachtree Walk NE #310, Atlanta, GA 30309",1bd,1ba,264900,720
"1697 Chateau Dr, Atlanta, GA 30338",5bd,4ba,635000,3375
"Robie Plan in The Villages at Oakshire, Atlanta, GA 30354",5bd,3ba,352500,2361
"1867 Jan Hill Ln, Atlanta, GA 30329",3bd,2ba,565000,1429
"860 Peachtree St   NE #1016, Atlanta, GA 30308",1bd,1ba,320000,606
"879 Sims St SW, Atlanta, GA 30310",Studio,Undisclosed,79900,Undisclosed
"1335 Parc Bench Rd   #19, Atlanta, GA 30349",3bd,3ba,414900,1465
"1337 Parc Bench Rd   #20, Atlanta, GA 30349",3bd,3ba,404900,1465
"HALTON Plan in Glen at Cascading Palms, Atlanta, GA 30331",5bd,3ba,431990,3209
"71 Lucy St   SE #3, Atlanta, GA 30312",4bd,5ba,849999,2645
"4038 Tilly Mill Rd, Atlanta, GA 30360",4bd,2ba,529000,2842
"425 Chapel St   SW #2302, Atlanta, GA 30313",2bd,2ba,275000,1196
"1585 Woodland Ave SE, Atlanta, GA 30315",5bd,3ba,579000,Undisclosed
"Manor Home 2 Plan in Downing Park, Atlanta, GA 30307",6bd,7ba,2350000,4495
"Addison Plan in Dalston, Atlanta, GA 30342",2bd,3ba,550000,1341
"180 Smithdun Ln, Sandy Springs, GA 30350",4bd,4ba,745000,2855
"3113 Lenox Rd   NE #5, Atlanta, GA 30324",3bd,4ba,800000,3300
"Lindsey Plan in Zephyr, Atlanta, GA 30315",3bd,3ba,492000,1500
"2249 Leicester Way SE, Atlanta, GA 30316",3bd,3ba,325000,1548
"5925 Mallory Rd, Atlanta, GA 30349",2bd,2ba,169900,960
"880 Oakhill Ave SW, Atlanta, GA 30310",3bd,3ba,440000,1600
"1365 Custer Way SE, Atlanta, GA 30316",4bd,4ba,730000,3576
"809 Peachtree Battle Ave NW, Atlanta, GA 30327",4bd,5ba,2350000,5105
"1351 Paces Forest Dr NW, Atlanta, GA 30327",6bd,6ba,1375000,5850
"3227 Jackson St, Hapeville, GA 30354",3bd,3ba,460000,1800
"6585 Commonwood Pl, Atlanta, GA 30349",5bd,3ba,278000,2312
"2226 Bigwood Trl, Atlanta, GA 30349",2bd,3ba,215000,1544
"3117 Mabry Rd, Atlanta, GA 30319",3bd,2ba,1100000,1343
"1403 Vesta Ter, Atlanta, GA 30344",Studio,Undisclosed,450000,Undisclosed
"924 Virginia Ave NE, Atlanta, GA 30306",3bd,2ba,724900,1826
"Ruskin Plan in Eloise at Grant Park - The Townhomes, Atlanta, GA 30312",3bd,4ba,757995,1922
"3070 Harold Ave, Atlanta, GA 30316",Studio,Undisclosed,62000,Undisclosed
"1982 Baker Rd NW, Atlanta, GA 30318",3bd,3ba,414900,1540
"1282 Longreen Ter  #121, Atlanta, GA 30318",2bd,2ba,441417,1070
"2782 Rangewood Dr, Atlanta, GA 30345",5bd,4ba,865000,4950
"2109 River Green Dr NW, Atlanta, GA 30327",1bd,1ba,225000,820
"1375 Elizabeth Ln, East Pt, GA 30344",3bd,1ba,320000,1272
"166 Chestnut St   #74, Atlanta, GA 30354",2bd,2ba,554260,1200
"87 Peachtree St SW #506, Atlanta, GA 30303",1bd,1ba,239500,1256
"812 Flat Shoals Way, Atlanta, GA 30316",2bd,2ba,400000,Undisclosed
"1113 Cordova St SW, Atlanta, GA 30310",Studio,Undisclosed,95000,Undisclosed
"2951 W  Roxboro Rd NE, Atlanta, GA 30324",6bd,7ba,2225000,6494
"2232 Dunseath Ave NW #412, Atlanta, GA 30318",2bd,2ba,250000,950
"Ashby Plan in Reverie on Cumberland, Atlanta, GA 30339",2bd,3ba,623040,1873
"Cooper Plan in Reverie on Cumberland, Atlanta, GA 30339",4bd,4ba,719370,2470
"324 8th St NE, Atlanta, GA 30309",6bd,6ba,1995000,5040
"2475 Sycamore Rd   NW, Atlanta, GA 30318",3bd,4ba,529900,2175
"2485 Sycamore Rd, Atlanta, GA 30318",3bd,4ba,529900,2175
"2488 Sycamore Rd, Atlanta, GA 30318",3bd,4ba,554900,2175
"2487 Sycamore Rd, Atlanta, GA 30318",3bd,4ba,529900,2175
"2491 Sycamore Rd, Atlanta, GA 30318",3bd,4ba,539900,2175
"1165 Chantilly Rdg  NE, Atlanta, GA 30324",4bd,4ba,725000,2915
"915 Smith St SW, Atlanta, GA 30310",2bd,2ba,255000,910
"70 Sheridan Dr   NE #7, Atlanta, GA 30305",1bd,1ba,229900,485
"400 W  Peachtree St   NW #3801, Atlanta, GA 30308",2bd,2ba,550000,1380
"260 18th St   NW #10315, Atlanta, GA 30363",2bd,2ba,434900,1372
"Addison Plan in West Highlands, Atlanta, GA 30318",3bd,4ba,550000,1984
"250 Pharr Rd #1307, Atlanta, GA 30305",1bd,1ba,275000,762
"5295 Orange Dr SW, Atlanta, GA 30331",4bd,3ba,357000,1606
"226 Polar Rock Rd SW, Atlanta, GA 30315",3bd,2ba,321000,1942
"112 Rogers St   NE #302, Atlanta, GA 30317",1bd,1ba,214900,441
"795 Hammond Dr #1808, Sandy Springs, GA 30328",1bd,1ba,218000,769
"316 Glenn St SW, Atlanta, GA 30312",2bd,3ba,250000,992
"1039 Division St   NW #30, Atlanta, GA 30314",3bd,5ba,768758,2373
"3177 Clairwood Ter, Atlanta, GA 30341",2bd,1ba,449900,1068
"Hutton Plan in Easton, Atlanta, GA 30318",3bd,3ba,590990,2349
"1273 Longreen Ter  #6, Atlanta, GA 30318",1bd,1ba,310227,640
"3208 N  Fulton Ave, Hapeville, GA 30354",3bd,2ba,280000,1196
"300 W  Peachtree St   NW #4B, Atlanta, GA 30308",1bd,1ba,205000,621
"353 Mary St SW, Atlanta, GA 30310",2bd,2ba,321900,975
