Address,Beds,Baths,Price,Square Foot
"298 Joseph E Lowery Blvd NW, Atlanta, GA 30314",Studio,Undisclosed,110000,Undisclosed
"1080 Peachtree St NE #1712, Atlanta, GA 30309",2bd,2ba,650000,1196
"3777 Peachtree Rd NE #305, Brookhaven, GA 30319",1bd,1ba,270000,919
"D5 Plan in Atlantic, Atlanta, GA 30363",2bd,3ba,750000,2135
"1226 Greenwich St SW, Atlanta, GA 30310",3bd,2ba,499900,1849
"1101 Juniper St NE #625, Atlanta, GA 30309",1bd,1ba,329900,781
"4000 Admiral Dr, Chamblee, GA 30341",4bd,3ba,550000,2035
"3481 Lakeside Dr   NE #804, Atlanta, GA 30326",1bd,1ba,259900,750
"2824 Tupelo St, Atlanta, GA 30317",4bd,3ba,849900,2327
"280 Estoria St   SE, Atlanta, GA 30316",3bd,4ba,695000,2130
"4561 Olde Perimeter Way  #1510, Dunwoody, GA 30346",2bd,2ba,465000,1316
"1738 Duke Rd, Atlanta, GA 30341",4bd,2ba,539000,Undisclosed
"1933 Boulderview Dr SE, Atlanta, GA 30316",4bd,3ba,355000,1944
"2630 Woodward Rd   S, Atlanta, GA 30349",3bd,2ba,250000,1464
"198 Ponce De Leon Ave  NE #2A, Atlanta, GA 30308",2bd,1ba,285000,910
"1382 Lockhaven Cir SW, Atlanta, GA 30311",3bd,2ba,359000,1200
"855 Fleetwood Cir  SW, Atlanta, GA 30311",3bd,3ba,625000,2400
"5562 Windwood Rd, Atlanta, GA 30349",Studio,Undisclosed,335000,Undisclosed
"430 Lindbergh Dr   NE #K3, Atlanta, GA 30305",2bd,2ba,264900,1188
"2212 Westover Dr, East Pt, GA 30344",3bd,1ba,315000,1228
"3917 Bonnie Ln SE, Hapeville, GA 30354",4bd,2ba,219000,1339
"1100 Osborne St SW, Atlanta, GA 30310",3bd,2ba,319995,1452
"1080 Peachtree St NE #3312, Atlanta, GA 30309",2bd,2ba,710000,1196
"905 Fayetteville Rd, Atlanta, GA 30316",3bd,2ba,449900,1408
"604 Brandywine Cir, Sandy Springs, GA 30350",3bd,3ba,344995,2126
"Kerry Plan in The Villages at Oakshire, Atlanta, GA 30354",3bd,2ba,307830,1475
"Avery Plan in Ten29 West, Atlanta, GA 30318",3bd,4ba,700000,2294
"2392 Jefferson Ter, East Pt, GA 30344",3bd,1ba,254000,1008
"725 Dalrymple Rd #3I, Atlanta, GA 30328",2bd,2ba,229000,1104
"364 New Jersey Ave NW, Atlanta, GA 30314",4bd,2ba,372900,1600
"5696 Sunlily Dr, Atlanta, GA 30349",4bd,3ba,375000,1835
"658 S  Grand Ave NW, Atlanta, GA 30318",3bd,2ba,399000,1350
"2713 Briarwood Blvd, East Pt, GA 30344",4bd,3ba,340000,1431
"B6 Plan in J5, Atlanta, GA 30308",2bd,2ba,684900,1345
"806 Cooper St SW, Atlanta, GA 30315",Studio,Undisclosed,160000,Undisclosed
"1085 Osborne St SW, Atlanta, GA 30310",Studio,Undisclosed,69900,Undisclosed
"JADYN Plan in Glen at Cascading Palms, Atlanta, GA 30331",5bd,3ba,451990,3611
"S1 Plan in 788 West Midtown, Atlanta, GA 30318",Studio,1ba,290900,616
"2772 Veltre Pl SW, Atlanta, GA 30311",3bd,2ba,279000,1434
"4555 Danforth Rd SW, Atlanta, GA 30331",3bd,2ba,300000,1648
"2082 Wrights Mill Cir, Atlanta, GA 30324",4bd,4ba,799999,3514
"5645 Cascade Pass, Atlanta, GA 30336",3bd,3ba,275000,1638
"3445 Stratford Rd NE, Atlanta, GA 30326",1bd,1ba,350000,Undisclosed
"1105 Pine Tree Trl, Atlanta, GA 30349",4bd,3ba,149999,1297
"6C Plan in 40 West 12th, Atlanta, GA 30309",4bd,4ba,1982904,2537
"607 Enterkin Ct, South Fulton, GA 30349",4bd,3ba,350000,2278
"Darby Plan in The Collection at East Lake, Atlanta, GA 30316",3bd,3ba,473800,1926
"2499 Peachtree Rd NE #407, Atlanta, GA 30305",2bd,2ba,300000,1399
"Middleton 3B Plan in Zephyr, Atlanta, GA 30315",3bd,3ba,450000,1369
"1583 Stone Gate Ln   SE #1583, Atlanta, GA 30317",2bd,1ba,249900,702
"6620 Bridgewood Valley Rd, Sandy Springs, GA 30328",5bd,6ba,2195000,5253
"344 Eureka Dr NE, Atlanta, GA 30305",3bd,2ba,610000,1294
"1977 Wee Kirk Rd, Atlanta, GA 30316",3bd,2ba,305000,1300
"Middleton 3B Plan in Dalston, Atlanta, GA 30342",3bd,3ba,511000,1369
"Briarcliff Plan in Altus at The Quarter, Atlanta, GA 30318",2bd,3ba,557990,2092
"1384 Emory Rd, Atlanta, GA 30306",5bd,4ba,740000,2558
"563 Memorial Dr   SE #306, Atlanta, GA 30312",2bd,2ba,520000,1424
"2982 Ringle Rd, Chamblee, GA 30341",3bd,2ba,650000,1431
"3835 Collier Dr NW, Atlanta, GA 30331",Studio,Undisclosed,65000,Undisclosed
"809 Kennedy St NW, Atlanta, GA 30318",3bd,2ba,389000,1024
"2852 Hawthorne Dr, Atlanta, GA 30345",6bd,6ba,1295000,5900
"1181 Oglethorpe Ave, Atlanta, GA 30319",5bd,6ba,1925000,4350
"5929 Oak Rd, Doraville, GA 30340",2bd,1ba,259900,928
"996 Forrest Cir SE, Atlanta, GA 30354",3bd,2ba,175000,1196
"383 Grant Cir  SE #1623, Atlanta, GA 30315",2bd,2ba,549900,1406
"429 Fennel Way SW, Atlanta, GA 30331",3bd,2ba,170000,1189
"Hummingbird Plan in Park Vue, Atlanta, GA 30318",3bd,3ba,424900,1362
"1094 Mendell Cir  NE, Atlanta, GA 30319",3bd,3ba,925000,2899
"3040 Peachtree Rd NW #1913, Atlanta, GA 30305",1bd,1ba,329000,800
"Briarcliff 4-Story Plan in Easton, Atlanta, GA 30318",2bd,3ba,619990,2427
"Kennedy Plan in Hawthorne Station, Atlanta, GA 30337",3bd,3ba,350900,1890
"Strozzi Plan in Reverie on Cumberland, Atlanta, GA 30339",4bd,4ba,899900,3155
"295 Francyne Ct NE, Sandy Springs, GA 30328",3bd,3ba,510000,2375
"515 Hancock Dr   SE, Atlanta, GA 30306",4bd,3ba,424990,2506
"1677 S  Gordon St SW, Atlanta, GA 30310",3bd,2ba,612500,1138
"837 Smith St   SW #B, Atlanta, GA 30310",2bd,2ba,248000,1050
"1145 McDaniel St SW, Atlanta, GA 30310",Studio,Undisclosed,260000,Undisclosed
"2715 Piper Dr, Atlanta, GA 30331",5bd,3ba,409990,2511
"L3 Plan in Atlantic, Atlanta, GA 30363",3bd,3ba,799900,2013
"853 Brookline St SW, Atlanta, GA 30310",3bd,2ba,455000,Undisclosed
"1280 W  Peachtree St   NW #3308, Atlanta, GA 30309",1bd,1ba,250000,813
"HANOVER Plan in Glen at Cascading Palms, Atlanta, GA 30331",4bd,3ba,413990,2804
"2535 Abner Pl NW, Atlanta, GA 30318",3bd,1ba,215000,864
"1406 Mozley Pl SW, Atlanta, GA 30314",3bd,2ba,379999,1210
"133 Holly Rd NW, Atlanta, GA 30314",3bd,1ba,227000,913
"1962 Montrose Dr, East Pt, GA 30344",3bd,3ba,374900,1971
"1332 Willis Mill Rd SW, Atlanta, GA 30311",4bd,2ba,329000,2203
"2845 Forrest Hills Dr SW, Atlanta, GA 30315",4bd,4ba,339600,2100
"2660 Peachtree Rd NW #21C, Atlanta, GA 30305",2bd,2ba,899000,2403
"1591 Abner Ter NW, Atlanta, GA 30318",3bd,2ba,210000,1192
"1504 Woodcliff Dr NE, Sandy Springs, GA 30350",2bd,1ba,259900,1000
"5220 Koweta Rd   S, Atlanta, GA 30349",3bd,3ba,200000,1104
"515 Hancock Dr   SE #40, Atlanta, GA 30306",4bd,3ba,424990,2506
"2544 Laurel Cir NW, Atlanta, GA 30311",2bd,3ba,245000,1626
"2B Plan in 40 West 12th, Atlanta, GA 30309",2bd,3ba,1228556,1652
"2369 Cloverdale Dr, Atlanta, GA 30316",4bd,3ba,575000,2606
"Brycen Plan in Reverie on Cumberland, Atlanta, GA 30339",2bd,3ba,464900,1569
"185 Trowbridge Rd, Sandy Springs, GA 30350",6bd,4ba,875000,3123
"123 Thirkield Ave SE, Atlanta, GA 30315",3bd,3ba,485000,Undisclosed
"4013 Avalon Rd   SW, Atlanta, GA 30331",3bd,3ba,260000,1440
"3982 Wolcott Cir, Doraville, GA 30340",2bd,3ba,248000,1470
"2030 Main St   NW #503, Atlanta, GA 30318",4bd,4ba,519990,2148
"3707 Paces Lookout Ave SE, Atlanta, GA 30339",5bd,5ba,1695000,4888
"610 Herron Trce SW, Atlanta, GA 30349",Studio,Undisclosed,65000,Undisclosed
"1895 Thomasville Dr SE, Atlanta, GA 30315",4bd,2ba,275000,983
"4449 Kellogg Cir, Atlanta, GA 30338",5bd,4ba,824900,2786
"132 Hillside Ave SE, Atlanta, GA 30315",4bd,4ba,600000,2700
"111 Tuxedo Ter NW, Atlanta, GA 30342",6bd,7ba,4250000,7200
"821 Peyton Ave NW, Atlanta, GA 30318",3bd,3ba,425000,1730
"2106 Penrose Dr, Atlanta, GA 30344",3bd,2ba,375000,1074
"500 Westover Dr NW, Atlanta, GA 30305",5bd,5ba,2595000,4587
"4056 Ashford Dunwoody Rd   NE, Atlanta, GA 30319",4bd,5ba,1299000,4300
"792 Magna Carta Dr NW, Atlanta, GA 30318",3bd,2ba,185000,1094
"2555 Flat Shoals Rd   #2204, Atlanta, GA 30349",3bd,3ba,266000,1612
"170 Boulevard SE #H308, Atlanta, GA 30312",1bd,1ba,385000,1269
"888 Gilbert St SE, Atlanta, GA 30316",3bd,3ba,685000,1728
"268 Delevan St SW, Atlanta, GA 30315",Studio,Undisclosed,100000,Undisclosed
"1372 Wichita Dr SW, Atlanta, GA 30311",3bd,1ba,215000,1039
"8 Johnson Rd NW, Atlanta, GA 30318",3bd,2ba,329000,1940
"250 Pharr Rd #913, Atlanta, GA 30305",2bd,2ba,429995,1233
"2604 Campbellton Rd   SW #A5, Atlanta, GA 30311",2bd,3ba,174999,1728
"855 Peachtree St   NE #2905, Atlanta, GA 30308",2bd,2ba,500000,982
"PH-4 Plan in 788 West Midtown, Atlanta, GA 30318",2bd,3ba,831400,1521
"Hayden Plan in The Villages at Oakshire, Atlanta, GA 30354",5bd,3ba,354990,2511
"3201 Lenox Rd   NE #23, Atlanta, GA 30324",2bd,2ba,310000,1249
"2106 Westchester Rdg  NE, Atlanta, GA 30329",1bd,1ba,240000,690
"585 McWilliams Rd   SE #505, Atlanta, GA 30315",3bd,3ba,300000,1368
"1208 N  Decatur Rd, Atlanta, GA 30306",Studio,Undisclosed,325000,6000
"390 17th St   NW #4030, Atlanta, GA 30363",1bd,1ba,245900,868
"523 Wabash Ave NE, Atlanta, GA 30312",2bd,3ba,680000,1756
"M Plan in Atlantic, Atlanta, GA 30363",3bd,3ba,879900,1992
"795 Hammond Dr #2305, Sandy Springs, GA 30328",2bd,2ba,319000,1309
"Address Not Disclosed, Atlanta, GA 30331",4bd,3ba,265900,Undisclosed
"424 Greencove Ln, Atlanta, GA 30316",4bd,3ba,635000,Undisclosed
"1007 Ashby Ter NW, Atlanta, GA 30314",Undisclosed,Undisclosed,115000,Undisclosed
"3021 Delmar Ln NW, Atlanta, GA 30311",Undisclosed,Undisclosed,80000,Undisclosed
"1040 Ira St SW, Atlanta, GA 30310",3bd,2ba,395000,Undisclosed
"3765 Village Dr SW, Atlanta, GA 30331",4bd,3ba,430000,2217
"2700 Pine Tree Rd NE #2315, Atlanta, GA 30324",1bd,1ba,249900,Undisclosed
"846 Hargis St SE, Atlanta, GA 30315",3bd,3ba,310000,1976
"800 Peachtree St   NE #2401, Atlanta, GA 30308",1bd,1ba,264990,775
"1357 Bridges Ave  SW, Atlanta, GA 30310",Undisclosed,Undisclosed,150000,Undisclosed
"115 Biscayne Dr   NW #E4, Atlanta, GA 30309",3bd,2ba,265000,1300
"3435 Kingsboro Rd   NE #604, Atlanta, GA 30326",2bd,2ba,375000,Undisclosed
"115 Biscayne Dr   NW #A12, Atlanta, GA 30309",3bd,2ba,300000,1300
"1748 Devon Dr   SW #33, Atlanta, GA 30311",2bd,3ba,225000,1328
"972 Dekalb Ave NE #102, Atlanta, GA 30307",1bd,1ba,350000,790
"1168 Eggleston St SW, Atlanta, GA 30310",3bd,3ba,439000,1683
"369 Delevan St SW, Atlanta, GA 30310",3bd,3ba,525000,2400
"550 Old Wheat St NE, Atlanta, GA 30312",3bd,2ba,682000,1198
"6670 Prelude Dr, Sandy Springs, GA 30328",4bd,5ba,1455546,4186
"C-1 Plan in 788 West Midtown, Atlanta, GA 30318",3bd,3ba,862900,1770
"250 Pharr Rd #1601, Atlanta, GA 30305",2bd,2ba,420000,1056
"3675 Peachtree Rd NE #29, Atlanta, GA 30319",2bd,2ba,330000,1090
"270 17th St   NW #3505, Atlanta, GA 30363",1bd,2ba,475000,1244
"549 Pryor St SW, Atlanta, GA 30312",3bd,3ba,225000,1392
"72 Peachtree Hills Ave NE, Atlanta, GA 30305",3bd,2ba,799900,1432
"B2 Plan in J5, Atlanta, GA 30308",2bd,2ba,727400,1422
"2216 Chrysler Ter, Atlanta, GA 30345",3bd,2ba,525000,1789
"Hartsfield Plan in Hawthorne Station, Atlanta, GA 30337",4bd,3ba,353900,2066
"1006 Burns Dr SW, Atlanta, GA 30310",4bd,2ba,299999,1595
"654 Elkmont Dr NE, Atlanta, GA 30306",2bd,1ba,695000,1256
"H Plan in Atlantic, Atlanta, GA 30363",3bd,3ba,924900,2014
"361 17th St   #1306, Atlanta, GA 30363",1bd,1ba,285000,811
"4D Plan in 40 West 12th, Atlanta, GA 30309",3bd,4ba,1821925,2532
"149 Rosser St SW, Atlanta, GA 30314",3bd,2ba,425000,1234
"1895 Markone St NW, Atlanta, GA 30318",2bd,1ba,249999,1056
"3379 Bellbuckle Ln, Atlanta, GA 30331",4bd,3ba,436239,2080
"4826 Elm Leaf Dr, Atlanta, GA 30331",4bd,3ba,420999,2089
"607 Enterkin Ct   #9, Atlanta, GA 30349",4bd,3ba,350000,2278
"1160 Aurora Ct, Atlanta, GA 30338",5bd,4ba,629000,2890
"B-2 Plan in 788 West Midtown, Atlanta, GA 30318",2bd,2ba,551900,1129
"1160 Windsor Pkwy #5, Sandy Springs, GA 30319",3bd,3ba,485000,1714
"Hutton Plan in Altus at The Quarter, Atlanta, GA 30318",3bd,3ba,599990,2349
"Riverside Plan in Riverline, Atlanta, GA 30318",3bd,4ba,500000,2175
"Riverwalk Plan in Riverline, Atlanta, GA 30318",3bd,4ba,500000,2175
"Armstrong Plan in Hawthorne Station, Atlanta, GA 30337",3bd,3ba,349900,1871
"3621 Vinings Slope #1536, Atlanta, GA 30339",2bd,2ba,425000,1411
"1048 Mayson Turner Rd NW, Atlanta, GA 30314",5bd,4ba,599000,2980
"1470 Ryan St SW, Atlanta, GA 30310",3bd,3ba,475000,1704
"2254 Fernwood Dr, East Pt, GA 30344",Undisclosed,Undisclosed,100000,Undisclosed
"2152 Ivydale St, East Pt, GA 30344",3bd,3ba,325000,1650
"A-5 Plan in 788 West Midtown, Atlanta, GA 30318",1bd,1ba,478900,1009
"946 Michigan Ave NW, Atlanta, GA 30314",Studio,Undisclosed,155900,Undisclosed
"835 Drummond St SW, Atlanta, GA 30314",Studio,Undisclosed,139900,Undisclosed
"5315 Mount Vernon Pkwy, Sandy Springs, GA 30327",4bd,3ba,895000,Undisclosed
"MANSFIELD Plan in Glen at Cascading Palms, Atlanta, GA 30331",5bd,4ba,457990,3411
"1839 Brannen Rd, Atlanta, GA 30316",4bd,2ba,275000,1529
"2608 Caruso Way  #256, Atlanta, GA 30339",3bd,4ba,459900,1602
"1820 Peachtree Rd #1705, Atlanta, GA 30309",2bd,3ba,849800,1719
"6834 Fireside Ln, College Park, GA 30349",5bd,3ba,389000,3120
"275 Ralph D Abernathy Blvd SW, Atlanta, GA 30312",3bd,4ba,279999,1500
"3481 Lakeside Dr   NE #P101, Atlanta, GA 30326",3bd,3ba,750000,2100
"1712 Dresden Dr   NE, Atlanta, GA 30319",7bd,6ba,1299000,5416
"570 Belada Blvd, Sandy Springs, GA 30342",Studio,Undisclosed,490000,Undisclosed
"450 Belada Blvd, Sandy Springs, GA 30342",Studio,Undisclosed,525000,Undisclosed
"1258 Zucchini Cir  #209, Atlanta, GA 30315",2bd,2ba,428646,1171
"1263 Zucchini Cir  #187, Atlanta, GA 30315",3bd,3ba,452042,1369
"1265 Calhoun Ave, East Pt, GA 30344",3bd,1ba,315000,Undisclosed
"1180 Richland Rd SW, Atlanta, GA 30310",3bd,2ba,325000,1050
"860 Peachtree St   NE #2801, Atlanta, GA 30308",2bd,2ba,1050000,1875
"2783 Grand Ave SW, Atlanta, GA 30315",3bd,1ba,135000,1062
"635 Londonberry Rd, Sandy Springs, GA 30327",4bd,4ba,750000,2899
"1795 Gillem Dr, East Pt, GA 30344",3bd,1ba,165000,1128
"2575 Peachtree Rd NE #6G, Atlanta, GA 30305",2bd,2ba,425000,1594
"705 Glenwood Ave SE, Atlanta, GA 30312",2bd,1ba,520000,945
"3481 Lakeside Dr   NE #2605, Atlanta, GA 30326",1bd,1ba,259000,750
"1029 Piedmont Ave NE #202, Atlanta, GA 30309",2bd,2ba,465000,1185
"1435 Gatestone Way, Atlanta, GA 30339",7bd,7ba,1950000,8296
"550 Belada Blvd, Sandy Springs, GA 30342",Studio,Undisclosed,525000,Undisclosed
"Briscoe Plan in Hawthorne Station, Atlanta, GA 30337",3bd,3ba,347900,1806
"1514 Joseph E Boone Blvd NW, Atlanta, GA 30314",4bd,2ba,375900,1626
"3655 Peachtree Rd   NE #203, Atlanta, GA 30319",2bd,2ba,425000,1236
"4652 Edwina Ln SW, Atlanta, GA 30331",3bd,2ba,155000,1025
"3974 Allegretto Cir  #33, Atlanta, GA 30339",3bd,4ba,515835,1602
"1901 Huntingdon Chas, Atlanta, GA 30350",3bd,2ba,235000,1397
"2841 Belleau Ln, Atlanta, GA 30316",3bd,2ba,299000,1378
"2145 Park Ter, College Park, GA 30337",4bd,4ba,570000,2500
"300 Peachtree St   NE #15B, Atlanta, GA 30308",1bd,2ba,260000,621
"3898 King Arthur Rd SW, Atlanta, GA 30331",3bd,3ba,350000,1776
"6027 Birdseye Trl, Atlanta, GA 30349",4bd,3ba,362500,2782
"269 Sewanee Ave NW, Atlanta, GA 30314",3bd,2ba,254900,1014
"3076 Lynn Dr SW, Atlanta, GA 30311",3bd,2ba,385000,1469
"600 Valley Green Dr NE, Atlanta, GA 30342",Studio,Undisclosed,1375000,Undisclosed
"1720 E  Washington Rd, Atlanta, GA 30344",Studio,Undisclosed,2300000,Undisclosed
"1080 Peachtree St NE #2302, Atlanta, GA 30309",2bd,2ba,899900,1386
"800 Peachtree St NE #1507, Atlanta, GA 30308",1bd,1ba,290000,1094
"1745 Woodcliff Pl, Atlanta, GA 30329",3bd,3ba,359900,2229
"2655 Picardy Cir S, Atlanta, GA 30349",2bd,3ba,189500,2550
"2879 Harlan Dr, East Pt, GA 30344",2bd,1ba,149900,936
"1663 N  Ave NW, Atlanta, GA 30318",3bd,3ba,499900,1700
"727 Cascade Ave SW, Atlanta, GA 30310",4bd,3ba,615000,Undisclosed
"359 Fairburn Rd NW, Atlanta, GA 30331",2bd,1ba,147900,949
"192 Hemphill School Rd NW, Atlanta, GA 30331",3bd,2ba,94900,1230
"201 Carroll St SE, Atlanta, GA 30312",5bd,2ba,750000,Undisclosed
"1041 Valley View Rd SE, Atlanta, GA 30315",3bd,1ba,220000,875
"551 Wimbledon Rd NE, Atlanta, GA 30324",Studio,Undisclosed,649000,Undisclosed
"2968 Northside Dr NW, Atlanta, GA 30327",4bd,6ba,1200000,4456
"5434 Waterfall Ct, Atlanta, GA 30349",3bd,3ba,235000,1902
"425 Chapel St SW #1103, Atlanta, GA 30313",2bd,2ba,299000,1196
"44 Peachtree Pl NW #1729, Atlanta, GA 30309",1bd,1ba,350000,774
"1711 Summit Glen Ln   NE, Atlanta, GA 30329",4bd,5ba,650000,3489
"2655 Picardy Cir  N  #B, Atlanta, GA 30349",2bd,3ba,189500,2550
"3297 N  Embry Cir, Atlanta, GA 30341",4bd,3ba,625000,2810
"1405 Oakland Dr   SW, Atlanta, GA 30310",Undisclosed,Undisclosed,329000,Undisclosed
"550 Belada Blvd #22, Atlanta, GA 30342",Undisclosed,Undisclosed,525000,Undisclosed
"570 Belada Blvd #20, Atlanta, GA 30342",Undisclosed,Undisclosed,490000,Undisclosed
"450 Belada Blvd #32, Atlanta, GA 30342",Undisclosed,Undisclosed,525000,Undisclosed
"2818 Belaire Cir, Doraville, GA 30340",3bd,2ba,400000,1561
"2618 Parkside Dr NE, Atlanta, GA 30305",8bd,7ba,2895000,6284
"1080 Peachtree St NE #1313, Atlanta, GA 30309",1bd,1ba,399900,789
"476 Village Creek Dr, Atlanta, GA 30338",3bd,3ba,280000,1800
"914 Buckingham Cir NW, Atlanta, GA 30327",7bd,9ba,6385000,10300
"172 Dalrymple Rd, Sandy Springs, GA 30328",6bd,8ba,1799500,7179
"2760 Two Lenox Rd, Atlanta, GA 30324",4bd,5ba,1695000,3721
"2760 Five Lenox Rd, Atlanta, GA 30324",4bd,5ba,1695000,3721
"867 Peachtree St   NE #302, Atlanta, GA 30308",3bd,3ba,1390000,2340
"2442 Springdale Rd SW, Atlanta, GA 30315",3bd,1ba,290000,1026
"870 Mayson Turner Rd   NW #1106, Atlanta, GA 30314",2bd,2ba,212000,872
"1338 Parc Bench Rd   #8, Atlanta, GA 30349",3bd,3ba,424995,1415
"Clover Plan in Zephyr, Atlanta, GA 30315",4bd,3ba,562000,1862
"3915 Thaxton Rd SW, Atlanta, GA 30331",3bd,2ba,285000,1484
"147 15th St   NE #2A, Atlanta, GA 30309",2bd,2ba,700000,2343
"3951 Kingfisher Dr, Atlanta, GA 30349",5bd,3ba,430000,3028
"6980 Roswell Rd   #F7, Atlanta, GA 30328",3bd,3ba,327000,1632
"2930 Eleanor Ter NW, Atlanta, GA 30318",3bd,2ba,339000,1560
"810 Welch St SW, Atlanta, GA 30310",5bd,3ba,465000,2074
"1384 Allegheny St SW, Atlanta, GA 30310",4bd,2ba,519000,1700
"1766 Hadlock St SW, Atlanta, GA 30311",2bd,1ba,125000,750
"175 Blackland Rd NW, Atlanta, GA 30342",9bd,12ba,6695000,10541
"2561 Thompson Rd   NE, Atlanta, GA 30319",7bd,5ba,1589000,5200
"4015 Riverchess Dr SW, Atlanta, GA 30331",3bd,3ba,404990,1828
"1365 Joseph E Boone Blvd NW, Atlanta, GA 30314",Studio,Undisclosed,400000,Undisclosed
"B-5 Plan in 788 West Midtown, Atlanta, GA 30318",2bd,3ba,871900,1790
"36 Sheridan Dr NE #A4, Atlanta, GA 30305",2bd,1ba,295000,1036
"716 Lenox Ln, Atlanta, GA 30324",4bd,5ba,1000000,3100
"3595 Quillback Ct, Atlanta, GA 30349",6bd,4ba,595000,3543
"1431 Graymont Dr   SW, Atlanta, GA 30310",4bd,4ba,525000,2301
"1427 Graymont Dr   SW, Atlanta, GA 30310",4bd,4ba,525000,2301
"3334 Peachtree Rd NE #902, Atlanta, GA 30326",1bd,1ba,318000,998
"55 Glen Oaks Dr, Sandy Springs, GA 30327",6bd,8ba,1550000,8049
"490 Quillian Ave  SE #B, Decatur, GA 30032",4bd,3ba,585000,1859
"1065 United Ave  SE #301, Atlanta, GA 30316",1bd,1ba,350000,889
"1949 Royal Ct, Atlanta, GA 30341",5bd,4ba,1200000,Undisclosed
"Address Not Disclosed, Atlanta, GA 30331",4bd,3ba,350000,Undisclosed
"3128 Lake Ct, Atlanta, GA 30341",3bd,3ba,269900,Undisclosed
"23203 Plantation Dr NE, Atlanta, GA 30324",2bd,2ba,275000,1224
"3935 Shandra Way, South Fulton, GA 30349",3bd,2ba,310000,1638
"702 Argonne Ave  NE #3, Atlanta, GA 30308",2bd,1ba,235000,667
"493 Tufton Trl SE, Atlanta, GA 30354",4bd,3ba,299999,2184
"1943 Sunbury Pl NW, Atlanta, GA 30318",4bd,3ba,1295000,2631
"250 Pharr Rd #1204, Atlanta, GA 30305",1bd,1ba,289000,867
"2531 Thompson Rd, Atlanta, GA 30319",6bd,5ba,1700000,4235
"664 Thurmond St NW, Atlanta, GA 30314",Studio,Undisclosed,159900,Undisclosed
"3824 Vermont Rd NE, Atlanta, GA 30319",4bd,5ba,1999000,5238
"1871 S  Hampton Ln   SE, Atlanta, GA 30316",4bd,3ba,365000,2270
"2354 Burroughs Ave SE, Atlanta, GA 30315",3bd,2ba,299500,1236
"1864 Duke Rd, Chamblee, GA 30341",5bd,5ba,1495000,3700
"872 Glenway Dr, East Pt, GA 30344",3bd,2ba,319000,1704
"3511 Hamilton Ave, Hapeville, GA 30354",3bd,3ba,435000,1996
"670 Federal Ter SE, Atlanta, GA 30315",3bd,2ba,399000,1288
"Calliope Plan in Park Vue, Atlanta, GA 30318",3bd,3ba,468405,1507
"1700 Hadlock St SW, Atlanta, GA 30311",2bd,1ba,145000,768
"112 Rogers St   NE #206, Atlanta, GA 30317",2bd,2ba,471000,1449
"1034 Palmetto Ave SW, Atlanta, GA 30314",4bd,4ba,510000,Undisclosed
"1819 Windemere Dr NE, Atlanta, GA 30324",5bd,5ba,2349000,5498
"167 Amherst Pl NW, Atlanta, GA 30327",2bd,2ba,399500,1295
"830 Greenwood Ave  NE #7, Atlanta, GA 30306",1bd,1ba,269900,Undisclosed
"5996 Mitchell Rd   #20, Atlanta, GA 30328",3bd,4ba,470000,2350
"2114 Drew Valley Rd   NE, Atlanta, GA 30319",3bd,3ba,649900,2262
"1443 Beatie Ave SW, Atlanta, GA 30310",4bd,2ba,280000,2478
"2187 Tiger Flowers Dr NW, Atlanta, GA 30314",3bd,1ba,180000,900
"2184 Polar Rock Pl SW, Atlanta, GA 30315",2bd,1ba,227000,895
"400 Village Pkwy NE #128, Atlanta, GA 30306",1bd,2ba,470000,1115
"790 Liberty Commons Dr NW, Atlanta, GA 30314",3bd,4ba,390000,1895
"1910 Cedar Glenn Way  #4403, Atlanta, GA 30339",2bd,2ba,350000,1209
"704 Garden Ct, Sandy Springs, GA 30328",2bd,2ba,290000,1200
"807 Gilbert St SE, Atlanta, GA 30316",3bd,2ba,539000,1266
"2965 Pharr Court South NW #115, Atlanta, GA 30305",2bd,2ba,225000,1167
"943 Peachtree St   NE #1901, Atlanta, GA 30309",2bd,1ba,425000,926
"2698 Rantin Dr, East Pt, GA 30344",2bd,1ba,239900,Undisclosed
"28 Collier Rd   NW #1, Atlanta, GA 30309",2bd,1ba,318000,960
"1674 Sandtown Rd SW, Atlanta, GA 30311",3bd,2ba,340000,1526
"293 Candler St, Atlanta, GA 30307",4bd,3ba,850000,2694
"2504 Bradford Sq, Atlanta, GA 30345",3bd,2ba,265000,1320
"1039 Palmetto Ave SW, Atlanta, GA 30314",4bd,3ba,524900,1750
"1077 Peeples St SW, Atlanta, GA 30310",3bd,2ba,285000,1169
"1579 Montreat Ave SW, Atlanta, GA 30311",4bd,3ba,574900,2800
"635 Kennolia Dr SW, Atlanta, GA 30310",3bd,2ba,325000,1480
"3079 Valleydale Dr SW, Atlanta, GA 30311",3bd,2ba,450000,1936
"4955 Powers Ferry Rd, Sandy Springs, GA 30327",5bd,3ba,699000,1956
"1786 Marietta Rd NW, Atlanta, GA 30318",3bd,3ba,569900,1600
"3377 Napoleon St, College Park, GA 30337",4bd,6ba,775000,2625
"943 Peachtree Rd #1802, Atlanta, GA 30309",1bd,1ba,383500,849
"195 Arizona Ave #163, Atlanta, GA 30307",2bd,2ba,475000,1354
"120 Ralph McGill Blvd NE #505, Atlanta, GA 30308",1bd,1ba,294900,1190
"1162 N  Shore Dr SW, Atlanta, GA 30311",Undisclosed,Undisclosed,94900,Undisclosed
