,Address,Beds,Baths,Price,Square Foot
59,"Ashby Plan in Reverie on Cumberland, Atlanta, GA 30339",2bd,3ba,"$623,040+","1,873 sqft"
60,"Cooper Plan in Reverie on Cumberland, Atlanta, GA 30339",4bd,4ba,"$719,370+","2,470 sqft"
61,"Robie Plan in The Villages at Oakshire, Atlanta, GA 30354",5bd,3ba,"$352,500+","2,361 sqft"
62,"2475 Sycamore Rd   NW, Atlanta, GA 30318",3bd,4ba,"$529,900","2,175 sqft"
63,"2485 Sycamore Rd, Atlanta, GA 30318",3bd,4ba,"$529,900","2,175 sqft"
64,"2488 Sycamore Rd, Atlanta, GA 30318",3bd,4ba,"$554,900","2,175 sqft"
65,"2782 Rangewood Dr, Atlanta, GA 30345",5bd,5ba,"$865,000","4,950 sqft (on 0.30 acres)"
66,"2487 Sycamore Rd, Atlanta, GA 30318",3bd,4ba,"$529,900","2,175 sqft"
67,"2491 Sycamore Rd, Atlanta, GA 30318",3bd,4ba,"$539,900","2,175 sqft"
68,"Type A Plan in Hollywood and Main II, Atlanta, GA 30318",3bd,4ba,"$490,000+","1,792 sqft"
69,"316 Glenn St SW, Atlanta, GA 30312",2bd,3ba,"$250,000",992 sqft
70,"1165 Chantilly Rdg  NE, Atlanta, GA 30324",4bd,4ba,"$725,000","2,915 sqft"
71,"915 Smith St SW, Atlanta, GA 30310",2bd,2ba,"$255,000",910 sqft
72,"848 Stratum Way SE, Atlanta, GA 30312",4bd,3ba,"$539,500","1,958 sqft"
73,"1273 Longreen Ter  #6, Atlanta, GA 30318",1bd,1ba,"$310,227",640 sqft
74,"3208 N  Fulton Ave, Hapeville, GA 30354",3bd,2ba,"$280,000","1,196 sqft"
75,"300 W  Peachtree St   NW #4B, Atlanta, GA 30308",1bd,1ba,"$205,000",621 sqft
76,"4291 Briarcliff Rd, Atlanta, GA 30345",3bd,2ba,"$439,000","1,930 sqft (on 0.40 acres)"
77,"353 Mary St SW, Atlanta, GA 30310",2bd,2ba,"$321,900",975 sqft
78,"2825 Gresham Rd, Atlanta, GA 30316",3bd,1ba,"$250,000",984 sqft
79,"400 W  Peachtree St   NW #3801, Atlanta, GA 30308",2bd,2ba,"$550,000","1,380 sqft"
80,"250 Pharr Rd #1307, Atlanta, GA 30305",1bd,1ba,"$275,000",762 sqft
81,"1563 Paxon St   SE, Atlanta, GA 30317",4bd,3ba,"$210,000","1,014 sqft"
82,"149 Walnut St SW, Atlanta, GA 30314",6bd,2ba,"$400,000","2,244 sqft"
83,"795 Hammond Dr #1701, Sandy Springs, GA 30328",2bd,1ba,"$245,000",975 sqft
84,"3994 Wolcott Cir, Doraville, GA 30340",2bd,3ba,"$257,500","1,160 sqft"
85,"226 Polar Rock Rd SW, Atlanta, GA 30315",3bd,2ba,"$321,000","1,942 sqft (on 0.37 acres)"
86,"2232 Dunseath Ave NW #412, Atlanta, GA 30318",2bd,2ba,"$250,000",950 sqft
87,"2255 Peachtree Rd NE #420, Atlanta, GA 30309",2bd,2ba,"$350,000","1,030 sqft"
88,"112 Rogers St   NE #302, Atlanta, GA 30317",1bd,1ba,"$214,900",441 sqft
89,"987 Ashby Cir NW, Atlanta, GA 30314",3bd,3ba,"$480,000","1,796 sqft"
90,"5315 Brooke Ridge Dr, Atlanta, GA 30338",3bd,4ba,"$499,900","2,438 sqft"
91,"812 Flat Shoals Way, Atlanta, GA 30316",2bd,2ba,"$400,000",Undisclosed
92,"3777 Peachtree Rd   NE #1128, Atlanta, GA 30319",1bd,1ba,"$250,000",919 sqft
93,"1851 Dunlap Ave, East Pt, GA 30344",3bd,2ba,"$349,000","1,482 sqft"
94,"2109 River Green Dr NW, Atlanta, GA 30327",1bd,1ba,"$225,000",820 sqft
95,"2998 Memorial Dr, Atlanta, GA 30317",2bd,1ba,"$319,000",977 sqft (on 0.30 acres)
96,"3300 Dogwood Dr   #312, Hapeville, GA 30354",2bd,2ba,"$225,000","1,295 sqft"
97,"374 Oak Dr SE, Atlanta, GA 30354",3bd,2ba,"$304,900","1,014 sqft (on 0.27 acres)"
98,"1461 Hawthorne Way, East Pt, GA 30344",3bd,1ba,"$80,000","1,254 sqft"
99,"854 Bonneville Ter NW, Atlanta, GA 30331",3bd,3ba,"$245,000","1,150 sqft"
100,"300 W  Peachtree St   NW #22L, Atlanta, GA 30308",1bd,1ba,"$255,000",609 sqft
