,Address,Beds,Baths,Price,Square Foot
261,"813 Sherwood Rd NE, Atlanta, GA 30324",5bd,5ba,"$2,195,000","5,224 sqft"
262,"1104 Riverbend Club Dr SE, Atlanta, GA 30339",2bd,3ba,"$475,000","1,352 sqft"
263,"1422 Glenwood Ave, Atlanta, GA 30316",4bd,4ba,"$650,000","2,136 sqft"
264,"280 Estoria St   SE, Atlanta, GA 30316",3bd,4ba,"$695,000","2,130 sqft"
265,"1035 Euclid Ave NE, Atlanta, GA 30307",4bd,3ba,"$1,150,000","2,492 sqft"
266,"2454 Kings Ct, Atlanta, GA 30345",5bd,5ba,"$799,000","4,863 sqft"
267,"218 Marion Pl, Atlanta, GA 30307",3bd,4ba,"$595,000","2,227 sqft"
268,"4016 Lake Manor Way, Atlanta, GA 30349",4bd,3ba,"$415,000","3,920 sqft"
269,"248 Spalding Gates Dr, Sandy Springs, GA 30328",3bd,3ba,"$500,000","2,797 sqft"
270,"4452 Dalston Dr   #4, Atlanta, GA 30342",3bd,3ba,"$543,694","1,370 sqft"
271,"2044 Groveglen Ct, Atlanta, GA 30345",6bd,5ba,"$1,099,000","5,750 sqft (on 0.89 acres)"
272,"821 Ralph McGill Blvd NE #3349, Atlanta, GA 30306",1bd,1ba,"$294,500",793 sqft
273,"198 Ponce De Leon Ave  NE #2A, Atlanta, GA 30308",2bd,1ba,"$285,000",910 sqft
274,"2782 Mango Cir NW, Atlanta, GA 30318",Studio,Undisclosed,"$59,900",Undisclosed
275,"298 Joseph E Lowery Blvd NW, Atlanta, GA 30314",Studio,Undisclosed,"$110,000",Undisclosed
276,"1080 Peachtree St NE #1712, Atlanta, GA 30309",2bd,2ba,"$650,000","1,196 sqft"
277,"2630 Woodward Rd   S, Atlanta, GA 30349",3bd,2ba,"$250,000","1,464 sqft"
278,"1226 Greenwich St SW, Atlanta, GA 30310",3bd,2ba,"$499,900","1,849 sqft"
279,"1101 Juniper St NE #625, Atlanta, GA 30309",1bd,1ba,"$329,900",781 sqft
280,"3481 Lakeside Dr   NE #804, Atlanta, GA 30326",1bd,1ba,"$259,900",750 sqft
281,"3777 Peachtree Rd NE #305, Brookhaven, GA 30319",1bd,1ba,"$270,000",919 sqft
282,"6320 Riverside Dr NW, Sandy Springs, GA 30328",5bd,5ba,"$1,500,000","3,625 sqft (on 2.01 acres)"
283,"400 17th St   NW #2409, Atlanta, GA 30363",2bd,2ba,"$315,000","1,155 sqft"
284,"1738 Duke Rd, Atlanta, GA 30341",4bd,2ba,"$539,000",Undisclosed
285,"1933 Boulderview Dr SE, Atlanta, GA 30316",4bd,3ba,"$355,000","1,944 sqft (on 0.30 acres)"
286,"Ruskin Plan in Eloise at Grant Park - The Townhomes, Atlanta, GA 30312",3bd,4ba,"$757,995+","1,922 sqft"
287,"2644 Oakdale St NW, Atlanta, GA 30318",4bd,3ba,"$550,000","2,277 sqft"
288,"855 Fleetwood Cir  SW, Atlanta, GA 30311",3bd,3ba,"$625,000","2,400 sqft (on 0.27 acres)"
289,"5562 Windwood Rd, Atlanta, GA 30349",Studio,Undisclosed,"$335,000",Undisclosed
290,"1710 Wayland Cir  NE, Atlanta, GA 30319",Studio,Undisclosed,"$650,000",Undisclosed
291,"430 Lindbergh Dr   NE #K3, Atlanta, GA 30305",2bd,2ba,"$264,900","1,188 sqft"
292,"1585 Archer St SW, Atlanta, GA 30314",4bd,3ba,"$419,995","1,712 sqft"
293,"2212 Westover Dr, East Pt, GA 30344",3bd,1ba,"$315,000","1,228 sqft (on 0.37 acres)"
294,"3917 Bonnie Ln SE, Hapeville, GA 30354",4bd,2ba,"$219,000","1,339 sqft"
295,"1100 Osborne St SW, Atlanta, GA 30310",3bd,2ba,"$319,995","1,452 sqft"
296,"1080 Peachtree St NE #3312, Atlanta, GA 30309",2bd,2ba,"$710,000","1,196 sqft"
297,"3301 Buckhead Forest Mews NE, Atlanta, GA 30305",2bd,3ba,"$625,000",Undisclosed
298,"905 Fayetteville Rd, Atlanta, GA 30316",3bd,2ba,"$449,900","1,408 sqft (on 1.40 acres)"
299,"860 Peachtree St   NE #812, Atlanta, GA 30308",1bd,1ba,"$329,900",808 sqft
300,"1162 Oakland Ln SW, Atlanta, GA 30310",4bd,2ba,"$312,500","1,400 sqft"
301,"25 Larue Pl NW, Atlanta, GA 30327",2bd,3ba,"$285,000","1,300 sqft"
302,"4000 Admiral Dr, Chamblee, GA 30341",4bd,3ba,"$600,000","2,035 sqft (on 0.40 acres)"
303,"604 Brandywine Cir, Sandy Springs, GA 30350",3bd,3ba,"$344,995","2,126 sqft"
304,"Kerry Plan in The Villages at Oakshire, Atlanta, GA 30354",3bd,2ba,"$307,830+","1,475 sqft"
305,"725 Dalrymple Rd #3I, Atlanta, GA 30328",2bd,2ba,"$229,000","1,104 sqft"
306,"364 New Jersey Ave NW, Atlanta, GA 30314",4bd,2ba,"$372,900","1,600 sqft"
307,"30 Glenald Way NW, Atlanta, GA 30327",1bd,1ba,"$225,000",828 sqft
308,"5696 Sunlily Dr, Atlanta, GA 30349",4bd,3ba,"$375,000","1,835 sqft (on 0.30 acres)"
309,"4561 Olde Perimeter Way  #1510, Dunwoody, GA 30346",2bd,2ba,"$465,000","1,316 sqft"
310,"1382 Lockhaven Cir SW, Atlanta, GA 30311",3bd,2ba,"$359,000","1,200 sqft (on 0.53 acres)"
311,"658 S  Grand Ave NW, Atlanta, GA 30318",3bd,2ba,"$399,000","1,350 sqft"
312,"2713 Briarwood Blvd, East Pt, GA 30344",4bd,3ba,"$340,000","1,431 sqft (on 0.58 acres)"
313,"806 Cooper St SW, Atlanta, GA 30315",Studio,Undisclosed,"$160,000",Undisclosed
314,"1085 Osborne St SW, Atlanta, GA 30310",Studio,Undisclosed,"$69,900",Undisclosed
315,"Addison Plan in West Highlands, Atlanta, GA 30318",3bd,4ba,"$550,000+","1,984 sqft"
316,"JADYN Plan in Glen at Cascading Palms, Atlanta, GA 30331",5bd,3ba,"$451,990+","3,611 sqft"
317,"5380 Brooke Ridge Dr, Atlanta, GA 30338",5bd,5ba,"$700,000","3,656 sqft (on 0.50 acres)"
318,"2772 Veltre Pl SW, Atlanta, GA 30311",3bd,2ba,"$279,000","1,434 sqft (on 0.46 acres)"
319,"4555 Danforth Rd SW, Atlanta, GA 30331",3bd,2ba,"$300,000","1,648 sqft (on 0.60 acres)"
320,"2082 Wrights Mill Cir, Atlanta, GA 30324",4bd,4ba,"$799,999","3,514 sqft"
321,"5645 Cascade Pass, Atlanta, GA 30336",3bd,3ba,"$275,000","1,638 sqft"
322,"3445 Stratford Rd NE, Atlanta, GA 30326",1bd,1ba,"$350,000",Undisclosed
323,"2879 Salmon Ave  SE, Atlanta, GA 30317",Undisclosed,Undisclosed,"$140,000",Undisclosed
324,"1105 Pine Tree Trl, Atlanta, GA 30349",4bd,3ba,"$149,999","1,297 sqft"
325,"280 Estoria Street SE, Atlanta, GA 30316",3bd,4ba,"$695,000",Undisclosed
326,"Darby Plan in The Collection at East Lake, Atlanta, GA 30316",3bd,3ba,"$473,800+","1,926 sqft"
327,"2499 Peachtree Rd NE #407, Atlanta, GA 30305",2bd,2ba,"$300,000","1,399 sqft"
328,"Middleton 3B Plan in Zephyr, Atlanta, GA 30315",3bd,3ba,"$450,000+","1,369 sqft"
329,"1583 Stone Gate Ln   SE #1583, Atlanta, GA 30317",2bd,1ba,"$249,900",702 sqft
330,"6620 Bridgewood Valley Rd, Sandy Springs, GA 30328",5bd,6ba,"$2,195,000","5,253 sqft (on 0.59 acres)"
331,"344 Eureka Dr NE, Atlanta, GA 30305",3bd,2ba,"$610,000","1,294 sqft (on 0.25 acres)"
332,"1977 Wee Kirk Rd, Atlanta, GA 30316",3bd,2ba,"$305,000","1,300 sqft (on 0.30 acres)"
333,"Middleton 3B Plan in Dalston, Atlanta, GA 30342",3bd,3ba,"$511,000+","1,369 sqft"
334,"119 Whitefoord Ave  NE #A, Atlanta, GA 30307",4bd,4ba,"$725,000","2,366 sqft"
335,"1384 Emory Rd, Atlanta, GA 30306",5bd,4ba,"$740,000","2,558 sqft (on 0.60 acres)"
336,"563 Memorial Dr   SE #306, Atlanta, GA 30312",2bd,2ba,"$520,000","1,424 sqft"
337,"2175 Greencrest Dr, Atlanta, GA 30345",5bd,3ba,"$799,000","2,744 sqft (on 0.40 acres)"
338,"720 E  Powderhorn Rd   NE, Atlanta, GA 30342",3bd,2ba,"$740,000","2,006 sqft (on 0.41 acres)"
339,"3445 Stratford Rd   NE #3402, Atlanta, GA 30326",1bd,1ba,"$327,000",972 sqft
340,"2982 Ringle Rd, Chamblee, GA 30341",3bd,2ba,"$650,000","1,431 sqft"
341,"383 Grant Cir  SE #1623, Atlanta, GA 30315",2bd,2ba,"$549,900","1,406 sqft"
342,"1075 Peachtree Walk NE #A517, Atlanta, GA 30309",2bd,2ba,"$375,000","1,000 sqft"
343,"2852 Hawthorne Dr, Atlanta, GA 30345",6bd,6ba,"$1,295,000","5,900 sqft (on 0.50 acres)"
344,"809 Kennedy St NW, Atlanta, GA 30318",3bd,2ba,"$389,000","1,024 sqft"
345,"1181 Oglethorpe Ave, Atlanta, GA 30319",5bd,6ba,"$1,925,000","4,350 sqft"
346,"5929 Oak Rd, Doraville, GA 30340",2bd,1ba,"$259,900",928 sqft
347,"996 Forrest Cir SE, Atlanta, GA 30354",3bd,2ba,"$175,000","1,196 sqft (on 0.41 acres)"
348,"Riverview Plan in Riverline, Atlanta, GA 30318",3bd,4ba,"$500,000+","2,175 sqft"
349,"Hummingbird Plan in Park Vue, Atlanta, GA 30318",3bd,3ba,"$424,900+","1,362 sqft"
350,"1094 Mendell Cir  NE, Atlanta, GA 30319",3bd,3ba,"$925,000","2,899 sqft"
351,"3040 Peachtree Rd NW #1913, Atlanta, GA 30305",1bd,1ba,"$329,000",800 sqft
352,"295 Francyne Ct NE, Sandy Springs, GA 30328",3bd,3ba,"$510,000","2,375 sqft"
353,"2715 Piper Dr, Atlanta, GA 30331",5bd,3ba,"$414,290","2,511 sqft"
354,"515 Hancock Dr   SE, Atlanta, GA 30306",4bd,3ba,"$424,990","2,506 sqft"
355,"325 E  Paces Ferry Rd   NE #1107, Atlanta, GA 30305",1bd,1ba,"$290,000",874 sqft
356,"1677 S  Gordon St SW, Atlanta, GA 30310",3bd,2ba,"$612,500","1,138 sqft (on 0.26 acres)"
357,"837 Smith St   SW #B, Atlanta, GA 30310",2bd,2ba,"$248,000","1,050 sqft"
358,"1145 McDaniel St SW, Atlanta, GA 30310",Studio,Undisclosed,"$260,000",Undisclosed
359,"3410 Essex Ave, Atlanta, GA 30339",2bd,2ba,"$281,000","1,181 sqft"
