Address,Beds,Baths,Price,Square Foot,Suggested Price
"1412 Foxhall Ln   SE #11, Atlanta, GA 30316",1bd,1ba,128000,627,205091.54
"2921 Lenox Rd   NE #402, Atlanta, GA 30324",2bd,2ba,354000,1270,415416.68
"976 Silverwood Dr, Atlanta, GA 30349",3bd,2ba,269900,2176,711769.06
"170 Boulevard SE #E209, Atlanta, GA 30312",2bd,2ba,575000,1858,607751.34
"1372 McClelland Ave, Atlanta, GA 30344",3bd,2ba,219999,1180,385977.7
"1689 Derry Ave SW, Atlanta, GA 30310",4bd,4ba,535888,2425,793216.89
"260 18th St   NW #10315, Atlanta, GA 30363",2bd,2ba,434900,1372,448780.86
"2249 Leicester Way SE, Atlanta, GA 30316",3bd,3ba,325000,1548,506350.41
"4030 Stonewall Tell Rd, Atlanta, GA 30349",4bd,2ba,295000,1404,459248.05
"4834 Neal Rdg, Atlanta, GA 30349",5bd,4ba,825000,5189,1697320.6
"1412 Beatie Ave SW, Atlanta, GA 30310",3bd,2ba,449999,1459,477238.54
"2587 Hightower Ct NW, Atlanta, GA 30318",4bd,3ba,247500,988,323174.55
"6961 Brandon Mill Rd, Sandy Springs, GA 30328",4bd,4ba,750000,2728,892328.12
"3091 Colonial Way  #A3, Atlanta, GA 30341",2bd,2ba,264900,1032,337566.94
"795 Hammond Dr #1808, Sandy Springs, GA 30328",1bd,1ba,218000,769,251539.71
"2615 Jefferson Ter, Atlanta, GA 30344",2bd,2ba,349500,1777,581256.26
"2210 Pansy St NW, Atlanta, GA 30314",3bd,3ba,279000,1288,421304.48
"554 Oak Dr, Hapeville, GA 30354",3bd,2ba,300000,1200,392519.7
"5925 Mallory Rd, Atlanta, GA 30349",2bd,2ba,169900,960,314015.76
"4110 Robin Cir, Atlanta, GA 30349",3bd,3ba,265000,2264,740553.83
"3303 Woodwalk Dr   SE #17, Atlanta, GA 30339",3bd,4ba,599900,3710,1213540.07
"2226 Bigwood Trl  S, Atlanta, GA 30349",2bd,3ba,215000,1544,505042.01
"6314 Rockaway Rd   #29, Atlanta, GA 30349",3bd,3ba,265100,1488,486724.43
"560 Wembley Cir, Sandy Springs, GA 30328",4bd,4ba,719000,3115,1018915.72
"1161 Bordeau Ct, Atlanta, GA 30338",4bd,3ba,550000,2365,773590.91
"1097 Robert Smalls Way, Atlanta, GA 30318",3bd,4ba,662900,2294,750366.83
"2554 Boulder Hill Ct, Atlanta, GA 30316",4bd,3ba,439000,1544,505042.01
"2733 Caldwell Rd, Atlanta, GA 30319",6bd,6ba,1399900,5812,1901103.75
"Braden Plan in Anatole, Atlanta, GA 30331",3bd,3ba,296000,1463,478546.93
"1033 Lenox Crst, Atlanta, GA 30324",3bd,3ba,724500,3686,1205689.68
"1300 Memorial Dr   SE #14, Atlanta, GA 30317",3bd,4ba,640000,2382,779151.6
"6177 Stonelake Dr SW, Atlanta, GA 30331",5bd,4ba,465000,3451,1128821.24
"737 Bismark Rd NE, Atlanta, GA 30324",3bd,4ba,550000,1881,615274.63
"2884 Cravey Dr   NE, Atlanta, GA 30345",6bd,5ba,925000,3078,1006813.03
"1092 Oak St SW, Atlanta, GA 30310",3bd,2ba,394000,2052,671208.69
"1069 Bluffhaven Way, Atlanta, GA 30319",4bd,4ba,1059000,3918,1281576.82
