Address,Beds,Baths,Price,Square Foot,Suggested Price
"Riverside Plan in Riverline, Atlanta, GA 30318",3bd,4ba,500000,2175,711441.96
"Riverwalk Plan in Riverline, Atlanta, GA 30318",3bd,4ba,500000,2175,711441.96
"Armstrong Plan in Hawthorne Station, Atlanta, GA 30337",3bd,3ba,349900,1871,612003.63
"Lanier Plan in Woodland Preserve, Atlanta, GA 30339",3bd,3ba,766990,2745,897888.81
"3621 Vinings Slope #1536, Atlanta, GA 30339",2bd,2ba,425000,1411,461537.75
"1048 Mayson Turner Rd NW, Atlanta, GA 30314",5bd,4ba,599000,2980,974757.25
"1470 Ryan St SW, Atlanta, GA 30310",3bd,3ba,475000,1704,557377.97
"2152 Ivydale St, East Pt, GA 30344",3bd,3ba,325000,1650,539714.59
"24113 Plantation Dr NE, Atlanta, GA 30324",1bd,1ba,200000,816,266913.4
"1435 Gatestone Way, Atlanta, GA 30339",7bd,7ba,1950000,8296,2713619.53
"MANSFIELD Plan in Glen at Cascading Palms, Atlanta, GA 30331",5bd,4ba,457990,3411,1115737.25
"6834 Fireside Ln, College Park, GA 30349",5bd,3ba,389000,3120,1020551.22
"275 Ralph D Abernathy Blvd SW, Atlanta, GA 30312",3bd,4ba,279999,1500,490649.62
"1712 Dresden Dr   NE, Atlanta, GA 30319",7bd,6ba,1299000,5416,1771572.25
"1180 Richland Rd SW, Atlanta, GA 30310",3bd,2ba,325000,1050,343454.74
"2783 Grand Ave SW, Atlanta, GA 30315",3bd,1ba,135000,1062,347379.93
"1795 Gillem Dr, East Pt, GA 30344",3bd,1ba,165000,1128,368968.52
"635 Londonberry Rd, Sandy Springs, GA 30327",4bd,4ba,750000,2899,948262.18
"2575 Peachtree Rd NE #6G, Atlanta, GA 30305",2bd,2ba,425000,1594,521397.0
"Briscoe Plan in Hawthorne Station, Atlanta, GA 30337",3bd,3ba,347900,1806,590742.15
"Calder Plan in Woodland Preserve, Atlanta, GA 30339",4bd,4ba,754990,2682,877281.53
"Briarcliff 4-Story Plan in Easton, Atlanta, GA 30318",2bd,3ba,619990,2427,793871.09
"1514 Joseph E Boone Blvd NW, Atlanta, GA 30314",4bd,2ba,375900,1626,531864.19
"4652 Edwina Ln SW, Atlanta, GA 30331",3bd,2ba,155000,1025,335277.24
"3974 Allegretto Cir  #33, Atlanta, GA 30339",3bd,4ba,515835,1602,524013.8
"1901 Huntingdon Chas, Atlanta, GA 30350",3bd,2ba,235000,1397,456958.35
"2608 Caruso Way  #256, Atlanta, GA 30339",3bd,4ba,464900,1602,524013.8
"1839 Brannen Rd, Atlanta, GA 30316",4bd,2ba,299999,1529,500135.52
"2841 Belleau Ln, Atlanta, GA 30316",3bd,2ba,299000,1378,450743.46
"2145 Park Ter, College Park, GA 30337",4bd,4ba,570000,2500,817749.37
"3898 King Arthur Rd SW, Atlanta, GA 30331",3bd,3ba,350000,1776,580929.16
"3076 Lynn Dr SW, Atlanta, GA 30311",3bd,2ba,385000,1469,480509.53
"800 Peachtree St NE #1507, Atlanta, GA 30308",1bd,1ba,290000,1094,357847.13
"1918 Flintwood Dr, Atlanta, GA 30316",3bd,2ba,200000,1304,426538.07
"1745 Woodcliff Pl, Atlanta, GA 30329",3bd,3ba,359900,2229,729105.34
"2185 Medfield Trl, Atlanta, GA 30345",3bd,2ba,375000,1998,653545.3
"2655 Picardy Cir S, Atlanta, GA 30349",2bd,3ba,189500,2550,834104.36
"2879 Harlan Dr, East Pt, GA 30344",2bd,1ba,149900,936,306165.37
"1265 Calhoun Ave, East Pt, GA 30344",3bd,1ba,315000,1210,395790.7
"1663 N  Ave NW, Atlanta, GA 30318",3bd,3ba,499900,1700,556069.57
"359 Fairburn Rd NW, Atlanta, GA 30331",2bd,1ba,147900,949,310417.66
"192 Hemphill School Rd NW, Atlanta, GA 30331",3bd,2ba,94900,1230,402332.69
"1041 Valley View Rd SE, Atlanta, GA 30315",3bd,1ba,220000,875,286212.28
"2968 Northside Dr NW, Atlanta, GA 30327",4bd,6ba,1200000,4456,1457556.49
"6027 Birdseye Trl, Atlanta, GA 30349",4bd,3ba,362500,2782,909991.5
"425 Chapel St SW #1103, Atlanta, GA 30313",2bd,2ba,299000,1196,391211.3
"1168 Eggleston St SW, Atlanta, GA 30310",3bd,3ba,439000,1683,550508.88
"309 Woodmill Way SW, Atlanta, GA 30331",4bd,5ba,400000,4175,1365641.46
"701 Pine Tree Trl  S  #10E, Atlanta, GA 30349",4bd,2ba,90000,1180,385977.7
"1711 Summit Glen Ln   NE, Atlanta, GA 30329",4bd,5ba,650000,3489,1141251.03
"2655 Picardy Cir  N  #B, Atlanta, GA 30349",2bd,3ba,189500,2550,834104.36
"3297 N  Embry Cir, Atlanta, GA 30341",4bd,3ba,625000,2810,919150.3
"2818 Belaire Cir, Doraville, GA 30340",3bd,2ba,400000,1541,504060.71
"23203 Plantation Dr NE, Atlanta, GA 30324",2bd,2ba,275000,1224,400370.09
"172 Dalrymple Rd, Sandy Springs, GA 30328",6bd,8ba,1799500,7179,2348249.1
"870 Mayson Turner Rd   NW #1106, Atlanta, GA 30314",2bd,2ba,212000,872,285230.98
"1338 Parc Bench Rd   #8, Atlanta, GA 30349",3bd,3ba,424995,1415,462846.15
"Clover Plan in Zephyr, Atlanta, GA 30315",4bd,3ba,562000,1862,609059.73
"3915 Thaxton Rd SW, Atlanta, GA 30331",3bd,2ba,285000,1484,485416.03
"1871 S  Hampton Ln   SE, Atlanta, GA 30316",4bd,3ba,365000,2270,742516.43
"3951 Kingfisher Dr, Atlanta, GA 30349",5bd,3ba,430000,3028,990458.04
"2930 Eleanor Ter NW, Atlanta, GA 30318",3bd,2ba,339000,1560,510275.61
"810 Welch St SW, Atlanta, GA 30310",5bd,3ba,465000,2074,678404.88
"1384 Allegheny St SW, Atlanta, GA 30310",4bd,2ba,519000,1700,556069.57
"1766 Hadlock St SW, Atlanta, GA 30311",2bd,1ba,125000,750,245324.81
"2561 Thompson Rd   NE, Atlanta, GA 30319",7bd,5ba,1589000,5200,1700918.7
"147 15th St   NE #2A, Atlanta, GA 30309",2bd,2ba,700000,2343,766394.71
"2442 Springdale Rd SW, Atlanta, GA 30315",3bd,1ba,290000,1026,335604.34
"716 Lenox Ln, Atlanta, GA 30324",4bd,5ba,1000000,3100,1014009.22
"112 Rogers St   NE #206, Atlanta, GA 30317",2bd,2ba,471000,1449,473967.54
"3595 Quillback Ct, Atlanta, GA 30349",6bd,4ba,595000,3543,1158914.41
"1431 Graymont Dr   SW, Atlanta, GA 30310",4bd,4ba,525000,2301,752656.52
"1427 Graymont Dr   SW, Atlanta, GA 30310",4bd,4ba,525000,2301,752656.52
"3334 Peachtree Rd NE #902, Atlanta, GA 30326",1bd,1ba,318000,998,326445.55
"55 Glen Oaks Dr, Sandy Springs, GA 30327",6bd,8ba,1550000,8049,2632825.89
"490 Quillian Ave  SE #B, Decatur, GA 30032",4bd,3ba,585000,1859,608078.44
"4015 Riverchess Dr SW, Atlanta, GA 30331",3bd,3ba,404990,1828,597938.34
"3935 Shandra Way, South Fulton, GA 30349",3bd,2ba,310000,1638,535789.39
"2230 Cedarbrook Ct   SE, Atlanta, GA 30316",4bd,2ba,500000,2129,696395.37
"3511 Hamilton Ave, Hapeville, GA 30354",3bd,3ba,449000,1996,652891.1
"2354 Burroughs Ave SE, Atlanta, GA 30315",3bd,2ba,299500,1236,404295.29
"7680 Ryefield Dr, Sandy Springs, GA 30350",6bd,5ba,789000,3720,1216811.07
"872 Glenway Dr, East Pt, GA 30344",3bd,2ba,319000,1704,557377.97
"476 Village Creek Dr, Atlanta, GA 30338",3bd,3ba,280000,1800,588779.55
"670 Federal Ter SE, Atlanta, GA 30315",3bd,2ba,399000,1288,421304.48
"Calliope Plan in Park Vue, Atlanta, GA 30318",3bd,3ba,468405,1507,492939.32
"1700 Hadlock St SW, Atlanta, GA 30311",2bd,1ba,145000,768,251212.61
"2187 Tiger Flowers Dr NW, Atlanta, GA 30314",3bd,1ba,180000,900,294389.77
"5996 Mitchell Rd   #20, Atlanta, GA 30328",3bd,4ba,480000,2350,768684.41
"6871 Cedar Run  #18, Atlanta, GA 30350",3bd,3ba,440375,1972,645040.71
"2184 Polar Rock Pl SW, Atlanta, GA 30315",2bd,1ba,227000,895,292754.28
"2114 Drew Valley Rd   NE, Atlanta, GA 30319",3bd,3ba,659900,2262,739899.63
"790 Liberty Commons Dr NW, Atlanta, GA 30314",3bd,4ba,390000,1895,619854.03
"704 Garden Ct, Sandy Springs, GA 30328",2bd,2ba,290000,1200,392519.7
"2965 Pharr Court South NW #115, Atlanta, GA 30305",2bd,2ba,225000,1167,381725.41
"870 Mayson Turner Rd   NW #1102, Atlanta, GA 30314",2bd,1ba,199900,872,285230.98
"1674 Sandtown Rd SW, Atlanta, GA 30311",3bd,2ba,340000,1526,499154.22
"36 Sheridan Dr NE #A4, Atlanta, GA 30305",2bd,1ba,295000,1036,338875.34
"293 Candler St, Atlanta, GA 30307",4bd,3ba,850000,2694,881206.73
"2504 Bradford Sq, Atlanta, GA 30345",3bd,2ba,265000,1320,431771.67
"1039 Palmetto Ave SW, Atlanta, GA 30314",4bd,3ba,524900,1750,572424.56
"1077 Peeples St SW, Atlanta, GA 30310",3bd,2ba,285000,1169,382379.61
"1579 Montreat Ave SW, Atlanta, GA 30311",4bd,3ba,574900,2800,915879.3
"635 Kennolia Dr SW, Atlanta, GA 30310",3bd,2ba,325000,1480,484107.63
"3079 Valleydale Dr SW, Atlanta, GA 30311",3bd,2ba,450000,1936,633265.12
"539 Seal Pl NE, Atlanta, GA 30308",3bd,4ba,800000,2511,821347.47
"3377 Napoleon St, College Park, GA 30337",4bd,6ba,775000,2625,858636.84
"120 Ralph McGill Blvd NE #505, Atlanta, GA 30308",1bd,1ba,294900,1190,389248.7
"5617 Casa Blanca Ln, Atlanta, GA 30331",5bd,4ba,529900,3170,1036906.21
"476 Village Creek Dr   #A, Atlanta, GA 30338",3bd,3ba,280000,1800,588779.55
"790 Liberty Commons Dr   NW #601, Atlanta, GA 30314",3bd,4ba,390000,1895,619854.03
"795 Hammond Dr #2307, Sandy Springs, GA 30328",1bd,1ba,262000,941,307800.86
"4006 Riverchess Dr SW, Atlanta, GA 30331",3bd,3ba,384990,1814,593358.95
"3998 Riverchess Dr SW, Atlanta, GA 30331",3bd,3ba,384990,1814,593358.95
"2408 Lakeshore Dr   #28, Atlanta, GA 30307",3bd,3ba,407900,1415,462846.15
"2418 Charleston Pointe Ct, Atlanta, GA 30316",4bd,3ba,342000,1864,609713.93
"3030 Lynhurst Cir SW, Atlanta, GA 30311",4bd,2ba,350000,2004,655507.9
"75 Spruell Springs Rd, Atlanta, GA 30342",6bd,5ba,1650000,6700,2191568.32
"3266 Henderson Mill Rd   #B, Chamblee, GA 30341",2bd,2ba,259000,1201,392846.8
"707 Banton Dr NW, Atlanta, GA 30318",3bd,4ba,625000,2095,685273.98
"3320 Ridge Poin, Atlanta, GA 30339",4bd,4ba,875000,5013,1639751.05
"1868 Bragg St, Atlanta, GA 30341",4bd,4ba,1120000,3932,1286156.22
"505 Whitehall St SW #101, Atlanta, GA 30313",2bd,1ba,372555,1355,443220.16
"1965 Hidden Hts  NW, Atlanta, GA 30318",3bd,3ba,430000,1444,472332.04
"1775 Brandon Hall Dr, Sandy Springs, GA 30350",4bd,5ba,840000,5395,1764703.15
"1385 Centra Villa Dr SW, Atlanta, GA 30311",4bd,2ba,399500,1860,608405.53
"1300 Kipling St SE, Atlanta, GA 30315",3bd,2ba,295000,1140,372893.71
"870 Mayson Turner Rd   NW #1012, Atlanta, GA 30314",2bd,2ba,175000,1094,357847.13
"589 Pelham Rd NE, Atlanta, GA 30324",5bd,4ba,1400000,5127,1677040.42
"238 Ismal Dr   SW, Atlanta, GA 30331",3bd,4ba,373000,1832,599246.74
"4046 Braxton Pl SW, Atlanta, GA 30331",3bd,3ba,235000,1368,447472.46
"Kennedy Plan in Hawthorne Station, Atlanta, GA 30337",3bd,3ba,350900,1890,618218.53
"3717 Allegretto Cir, Atlanta, GA 30339",3bd,4ba,565000,1828,597938.34
"601 Oakside Dr SW, Atlanta, GA 30331",3bd,2ba,259800,1564,511584.01
"1238 Ladd St SW, Atlanta, GA 30310",4bd,3ba,469000,1958,640461.31
"58 Mount Vernon Cir, Atlanta, GA 30338",3bd,3ba,424000,1750,572424.56
"394 Sawtell Ave SE, Atlanta, GA 30315",3bd,2ba,334900,1363,445836.96
"3070 Meadow Mere W, Chamblee, GA 30341",3bd,3ba,290000,1803,589760.85
"1034 Palmetto Ave SW, Atlanta, GA 30314",4bd,4ba,510000,2197,718638.15
"853 Gaston St SW, Atlanta, GA 30310",4bd,4ba,435000,2300,752329.42
"126 Chappell Rd NW, Atlanta, GA 30314",2bd,1ba,155000,977,319576.46
"781 Ayrshire Cir NW, Atlanta, GA 30318",3bd,1ba,100000,866,283268.38
"716 Church St NW, Atlanta, GA 30318",3bd,2ba,355000,1276,417379.28
"395 Spindle Ct, Sandy Springs, GA 30350",5bd,5ba,829000,4192,1371202.15
"390 17th St NW #3036, Atlanta, GA 30363",2bd,2ba,315990,1166,381398.31
"1075 Thomasville Estate Way  #19, Atlanta, GA 30315",3bd,3ba,333990,1800,588779.55
"1027 Thomasville Estate Way  #11, Atlanta, GA 30315",3bd,3ba,329990,1800,588779.55
"1051 Thomasville Estate Way  #15, Atlanta, GA 30315",3bd,3ba,329990,1800,588779.55
"3998 Riverchess Dr   SW #108, Atlanta, GA 30331",3bd,3ba,384990,1814,593358.95
"42 Arpege Way  NW #42, Atlanta, GA 30327",2bd,2ba,244900,1273,416397.98
"4006 Riverchess Dr   SW #110, Atlanta, GA 30331",3bd,3ba,384990,1814,593358.95
"2100 Garden Pl   SE #13, Atlanta, GA 30316",4bd,5ba,529900,2350,768684.41
"50 Old Powers Pl NW, Sandy Springs, GA 30327",4bd,5ba,1195000,4879,1595919.68
"Adeline Plan in The Parc, Atlanta, GA 30316",3bd,4ba,400000,1984,648965.9
"2371 Towneview Ct SE #7, Smyrna, GA 30339",4bd,4ba,399000,1963,642096.81
"2996 Jonesboro Rd   SE #B, Atlanta, GA 30354",3bd,3ba,209900,1902,622143.72
"638 River Ridge Dr   SE, Atlanta, GA 30354",3bd,3ba,384990,2235,731067.94
"6 Normandy Ct NE, Atlanta, GA 30324",2bd,2ba,280000,1450,474294.64
"6062 Pineside Dr, Atlanta, GA 30349",3bd,2ba,275000,1100,359809.72
